Economy,Year,Economy Code,"Mean age at first marriage, female",GDP (current US$)
Mozambique,2023,MOZ,,20954220983.547
Myanmar,2016,MMR,22.900,
Myanmar,2023,MMR,,66757619000.000
Namibia,2016,NAM,30.300,
Namibia,2023,NAM,,12351025066.913
Nauru,2019,NRU,,
Nauru,2023,NRU,,154170289.322
Nepal,2016,NPL,20.100,
Nepal,2023,NPL,,40908073366.845
Netherlands,2018,NLD,32.400,
Netherlands,2023,NLD,,1154361305398.060
New Caledonia,2019,NCL,,
New Caledonia,2022,NCL,,9623318718.315
New Zealand,2019,NZL,,
New Zealand,2023,NZL,,252175506110.168
Nicaragua,2019,NIC,,
Nicaragua,2023,NIC,,17829218219.359
Niger,2015,NER,17.200,
Niger,2023,NER,,16819170420.565
Nigeria,2019,NGA,,
Nigeria,2023,NGA,,363846332834.618
North Macedonia,2019,MKD,,
North Macedonia,2023,MKD,,15763621848.115
Northern Mariana Islands,2019,MNP,,
Northern Mariana Islands,2022,MNP,,1096000000.000
Norway,2018,NOR,32.100,
Norway,2023,NOR,,485310823603.662
Oman,2019,OMN,,
Oman,2023,OMN,,108810923276.983
Pakistan,2017,PAK,23.200,
Pakistan,2023,PAK,,337912301397.727
Palau,2015,PLW,28.500,
Palau,2023,PLW,,281849062.500
Panama,2019,PAN,,
Panama,2023,PAN,,83318176900.000
Papua New Guinea,2016,PNG,21.400,
Papua New Guinea,2023,PNG,,30729242919.441
Paraguay,2016,PRY,21.900,
Paraguay,2023,PRY,,42956263543.948
Peru,2016,PER,23.300,
Peru,2023,PER,,267603248655.253
Philippines,2017,PHL,23.400,
Philippines,2023,PHL,,437146372729.942
Poland,2019,POL,,
Poland,2023,POL,,809200697797.088
Portugal,2019,PRT,,
Portugal,2023,PRT,,289114289663.542
Puerto Rico,2019,PRI,,
Puerto Rico,2023,PRI,,117902300000.000
Qatar,2019,QAT,,
Qatar,2023,QAT,,213002809330.267
Romania,2019,ROU,,
Romania,2023,ROU,,350775856415.189
Russian Federation,2019,RUS,,
Russian Federation,2023,RUS,,2021421476035.420
Rwanda,2015,RWA,24.300,
Rwanda,2023,RWA,,14097768472.188
Samoa,2016,WSM,23.800,
Samoa,2023,WSM,,938189443.830
San Marino,2018,SMR,31.300,
San Marino,2022,SMR,,1831700577.089
Sao Tome and Principe,2019,STP,,
Sao Tome and Principe,2023,STP,,678976264.835
Saudi Arabia,2017,SAU,26.600,
Saudi Arabia,2023,SAU,,1067582933333.330
Senegal,2017,SEN,22.200,
Senegal,2023,SEN,,30848333083.706
Serbia,2019,SRB,,
Serbia,2023,SRB,,81342660752.373
Seychelles,2019,SYC,,
Seychelles,2023,SYC,,2141450171.139
Sierra Leone,2017,SLE,23.100,
Sierra Leone,2023,SLE,,6411869546.289
Singapore,2019,SGP,,
Singapore,2023,SGP,,501427500080.059
Sint Maarten (Dutch part),2019,SXM,,
Sint Maarten (Dutch part),2023,SXM,,1627776949.274
Slovak Republic,2018,SVK,31.000,
Slovak Republic,2023,SVK,,132908336234.295
Slovenia,2018,SVN,34.000,
Slovenia,2023,SVN,,69148468417.321
Solomon Islands,2015,SLB,22.400,
Solomon Islands,2023,SLB,,1633319401.194
Somalia,2019,SOM,,
Somalia,2023,SOM,,10968517090.000
South Africa,2016,ZAF,27.200,
South Africa,2023,ZAF,,380699271814.508
South Sudan,2019,SSD,,
South Sudan,2015,SSD,,11997800760.224
Spain,2019,ESP,,
Spain,2023,ESP,,1620090734956.890
Sri Lanka,2016,LKA,23.900,
Sri Lanka,2023,LKA,,84356863743.633
St. Kitts and Nevis,2019,KNA,,
St. Kitts and Nevis,2023,KNA,,1055499777.778
St. Lucia,2019,LCA,,
St. Lucia,2023,LCA,,2430148148.148
St. Martin (French part),2019,MAF,,
St. Martin (French part),2021,MAF,,649206262.848
St. Vincent and the Grenadines,2019,VCT,,
St. Vincent and the Grenadines,2023,VCT,,1065962962.963
Sudan,2019,SDN,,
Sudan,2023,SDN,,109265503110.904
Suriname,2019,SUR,,
Suriname,2023,SUR,,3455146280.840
Sweden,2018,SWE,31.000,
Sweden,2023,SWE,,584960475767.320
Switzerland,2017,CHE,30.900,
Switzerland,2023,CHE,,884940402230.409
Syrian Arab Republic,2019,SYR,,
Syrian Arab Republic,2022,SYR,,23622827079.505
Tajikistan,2017,TJK,20.700,
Tajikistan,2023,TJK,,12060602008.848
Tanzania,2016,TZA,21.000,
Tanzania,2023,TZA,,79062403820.892
Thailand,2019,THA,,
Thailand,2023,THA,,514968699239.005
Timor-Leste,2016,TLS,23.000,
Timor-Leste,2023,TLS,,2079916900.000
Togo,2017,TGO,21.300,
Togo,2023,TGO,,9171261837.571
Tonga,2016,TON,25.300,
Tonga,2022,TON,,518180042.242
Trinidad and Tobago,2019,TTO,,
Trinidad and Tobago,2023,TTO,,27372285697.948
Tunisia,2019,TUN,,
Tunisia,2023,TUN,,48529595416.653
Turkiye,2019,TUR,,
Turkiye,2023,TUR,,1118252964260.770
Turkmenistan,2015,TKM,23.500,
Turkmenistan,2023,TKM,,60628857142.857
Turks and Caicos Islands,2019,TCA,,
Turks and Caicos Islands,2023,TCA,,1402054390.947
Tuvalu,2019,TUV,,
Tuvalu,2023,TUV,,62280311.585
Uganda,2016,UGA,20.700,
Uganda,2023,UGA,,48768955863.317
Ukraine,2019,UKR,,
Ukraine,2023,UKR,,178757021965.008
United Arab Emirates,2019,ARE,,
United Arab Emirates,2023,ARE,,514130432653.081
United Kingdom,2019,GBR,,
United Kingdom,2023,GBR,,3380854520809.540
United States,2019,USA,,
United States,2023,USA,,27720709000000.000
Uruguay,2019,URY,,
Uruguay,2023,URY,,77240830877.460
Uzbekistan,2019,UZB,,
Uzbekistan,2023,UZB,,101591769702.343
Vanuatu,2019,VUT,,
Vanuatu,2023,VUT,,1126313359.219
"Venezuela, RB",2019,VEN,,
"Venezuela, RB",2023,VEN,,
Vietnam,2015,VNM,22.800,
Vietnam,2023,VNM,,429716969043.572
Virgin Islands (U.S.),2019,VIR,,
Virgin Islands (U.S.),2022,VIR,,4672000000.000
West Bank and Gaza,2017,PSE,22.100,
West Bank and Gaza,2023,PSE,,17420800000.000
"Yemen, Rep.",2019,YEM,,
"Yemen, Rep.",2018,YEM,,21606160783.985
Zambia,2019,ZMB,,
Zambia,2023,ZMB,,27577956471.244
Zimbabwe,2017,ZWE,21.100,
Zimbabwe,2023,ZWE,,35231367885.855
