Economy,Year,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever partnered women ages 15-49),There is legislation on sexual harassment in employment (1=yes; 0=no),Women and men have equal ownership rights to immovable property (1=yes; 0=no),"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)","Mean age at first marriage, female"
Netherlands,2018,5,1,1,,32.4
New Zealand,2018,4,1,1,,
Nicaragua,2018,6,1,1,,
Niger,2018,13,1,0,,17.2
Nigeria,2018,13,1,1,28.6,
North Macedonia,2018,4,1,1,88.1,
Norway,2018,4,1,1,,32.1
Oman,2023,,1,1,,
Pakistan,2018,16,1,1,31.5,23.2
Palau,2018,14,0,0,,28.5
Panama,2018,8,1,1,,
Papua New Guinea,2018,31,0,1,56.7,21.4
Paraguay,2018,6,1,1,,21.9
Peru,2018,11,1,1,,23.3
Philippines,2018,6,1,0,82.3,23.4
Poland,2018,3,1,1,,
Portugal,2018,4,1,1,,
Puerto Rico,2023,,1,1,,
Qatar,2023,,0,1,,
Romania,2018,7,1,1,,
Russian Federation,2023,,0,1,,
Rwanda,2018,23,1,1,61.3,24.3
Samoa,2018,18,1,0,,23.8
San Marino,2023,,0,1,,31.3
Sao Tome and Principe,2018,18,1,1,,
Saudi Arabia,2023,,1,1,,26.6
Senegal,2018,12,1,1,5.8,22.2
Serbia,2018,4,1,1,96.2,
Seychelles,2023,,0,1,,
Sierra Leone,2018,20,1,1,27.8,23.1
Singapore,2018,2,1,1,,
Slovak Republic,2018,6,1,1,,31
Slovenia,2018,3,1,1,,34
Solomon Islands,2018,28,0,1,,22.4
Somalia,2023,,0,1,,
South Africa,2018,13,1,1,60.5,27.2
South Sudan,2018,27,1,0,,
Spain,2018,3,1,1,,
Sri Lanka,2018,4,1,1,,23.9
St. Kitts and Nevis,2023,,0,1,,
St. Lucia,2023,,1,1,,
St. Vincent and the Grenadines,2023,,0,1,,
Sudan,2018,17,0,1,,
Suriname,2018,8,1,1,,
Sweden,2018,6,1,1,,31
Switzerland,2018,2,1,1,,30.9
Syrian Arab Republic,2023,,0,1,,
Tajikistan,2018,14,0,1,27.2,20.7
Tanzania,2018,24,1,1,49.6,21
Thailand,2018,9,1,1,,
Timor-Leste,2018,28,1,1,35.9,23
Togo,2018,13,1,1,,21.3
Tonga,2018,17,0,0,,25.3
Trinidad and Tobago,2018,7,0,1,,
Tunisia,2018,10,1,1,,
Turkiye,2018,12,1,1,,
Turkmenistan,2019,,,,59.3,23.5
Tuvalu,2018,20,,,,
Uganda,2018,26,1,1,58.5,20.7
Ukraine,2018,9,1,1,,
United Arab Emirates,2023,,1,1,,
United Kingdom,2018,4,1,1,,
United States,2018,6,1,1,,
Uruguay,2018,4,1,1,,
Uzbekistan,2023,,0,1,70.4,
Vanuatu,2018,29,0,0,,
"Venezuela, RB",2018,8,1,1,,
Viet Nam,2023,,,1,,
Vietnam,2018,10,1,,,22.8
West Bank and Gaza,2018,19,0,1,,22.1
"Yemen, Rep.",2023,,0,1,,
Zambia,2018,28,1,1,46.5,
Zimbabwe,2018,18,1,1,59.9,21.1
